episodeID, SubjectID
EID229,"[SUB8,SUB17,SUB27,SUB49,SUB59,SUB60]"
EID230,"[SUB17,SUB44,SUB59,SUB60]"
EID231,"[SUB10,SUB12,SUB14,SUB38,SUB39,SUB44]"
EID232,"[SUB17,SUB49,SUB50,SUB57,SUB59,SUB60,SUB62]"
EID233,"[SUB17,SUB49,SUB52,SUB59,SUB60,SUB66]"
EID234,"[SUB14,SUB16,SUB17,SUB28,SUB33,SUB38,SUB59,SUB60]"
EID235,"[SUB17,SUB27,SUB42,SUB49,SUB57,SUB59,SUB60]"
EID236,"[SUB9,SUB15,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID237,"[SUB8,SUB15,SUB28,SUB33,SUB38,SUB39,SUB59,SUB60]"
EID238,"[SUB17,SUB28,SUB49,SUB50,SUB59,SUB60,SUB62]"
EID239,"[SUB6,SUB15,SUB22,SUB27,SUB42,SUB49,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID240,"[SUB8,SUB15,SUB17,SUB28,SUB38,SUB49,SUB59,SUB60,SUB62]"
EID241,"[SUB4,SUB14,SUB16,SUB41,SUB50,SUB57,SUB63]"
EID242,"[SUB17,SUB44,SUB59,SUB60]"
EID243,"[SUB14,SUB16,SUB17,SUB33,SUB50,SUB52,SUB59,SUB60,SUB66]"
EID244,"[SUB3,SUB15,SUB17,SUB22,SUB37,SUB40,SUB52,SUB56,SUB59,SUB60,SUB66]"
EID245,"[SUB8,SUB14,SUB15,SUB16,SUB28,SUB38,SUB39,SUB49,SUB53,SUB59,SUB60,SUB62]"
EID246,"[SUB14,SUB15,SUB16,SUB17,SUB33,SUB38,SUB53,SUB59,SUB60]"
EID247,"[SUB3,SUB15,SUB22,SUB28,SUB44,SUB56,SUB57,SUB59,SUB60]"
EID248,"[SUB15,SUB17,SUB38,SUB39,SUB52,SUB53,SUB59,SUB60,SUB66]"
EID249,"[SUB17,SUB26,SUB27,SUB42,SUB49,SUB50,SUB59,SUB60]"
EID250,"[SUB14,SUB15,SUB16,SUB33,SUB38,SUB39,SUB50,SUB53,SUB59,SUB60]"
EID251,"[SUB4,SUB13,SUB14,SUB41,SUB50,SUB63]"
EID252,"[SUB12,SUB14,SUB15,SUB38,SUB39,SUB49,SUB53,SUB59,SUB60]"
EID253,"[SUB17,SUB28,SUB49,SUB59]"
EID254,"[SUB14,SUB15,SUB16,SUB38,SUB49,SUB52,SUB53,SUB59,SUB60,SUB66]"
EID255,"[SUB6,SUB8,SUB9,SUB15,SUB17,SUB44,SUB56,SUB59,SUB60]"
EID256,"[SUB17,SUB38,SUB39,SUB49,SUB53,SUB59,SUB60]"
EID257,"[SUB9,SUB15,SUB17,SUB44,SUB49,SUB57,SUB59,SUB60]"
EID258,"[SUB8,SUB15,SUB26,SUB33,SUB38,SUB39,SUB52,SUB53,SUB59,SUB60,SUB66]"
EID259,"[SUB15,SUB33,SUB38,SUB39,SUB53,SUB59,SUB60]"
EID260,"[SUB15,SUB17,SUB26,SUB49,SUB57,SUB59,SUB60]"
EID261,"[SUB14,SUB15,SUB38,SUB39,SUB49,SUB50,SUB53,SUB59,SUB60,SUB62]"
EID262,"[SUB17,SUB25,SUB49,SUB59,SUB60,SUB62]"
EID263,"[SUB9,SUB17,SUB27,SUB42,SUB44,SUB56,SUB59,SUB60]"
EID264,"[SUB15,SUB33,SUB38,SUB52,SUB53,SUB59,SUB60,SUB66]"
EID265,"[SUB9,SUB15,SUB33,SUB50,SUB56,SUB59,SUB60]"
EID266,"[SUB4,SUB13,SUB14,SUB16,SUB17,SUB41,SUB50,SUB57,SUB59,SUB63]"
EID267,"[SUB8,SUB15,SUB59,SUB60]"
EID268,"[SUB14,SUB15,SUB16,SUB38,SUB39,SUB49,SUB52,SUB53,SUB59,SUB60,SUB66]"
EID269,"[SUB10,SUB14,SUB27,SUB38,SUB42,SUB44]"
EID270,"[SUB15,SUB28,SUB33,SUB38,SUB53,SUB59,SUB60]"
EID271,"[SUB4,SUB24,SUB41,SUB43,SUB63]"
EID272,"[SUB8,SUB14,SUB16,SUB17,SUB25,SUB49,SUB59,SUB60]"
EID273,"[SUB8,SUB15,SUB38,SUB39,SUB49,SUB53,SUB59,SUB60,SUB62]"
EID274,"[SUB15,SUB25,SUB49,SUB50,SUB59,SUB60]"
